"Lambda","C","Mean","SD"
0.31622776601683794,1.0,0.3582179470439674,0.0032058376567856072
0.31622776601683794,1.7782794100389228,0.359285837131791,0.005127098900853938
0.31622776601683794,3.1622776601683795,0.3582669124649108,0.0040319339407569755
0.31622776601683794,5.623413251903491,0.3568269976608658,0.0038100774986393584
0.31622776601683794,10.0,0.3587084924444389,0.004079393934643827
1.0,0.001,0.35866094413720767,0.0032425010813397536
1.0,0.0017782794100389228,0.3578578758391736,0.003567844174464832
1.0,0.0031622776601683794,0.3578897309169835,0.0033182616978984893
1.0,0.005623413251903491,0.35652736041750976,0.0033921183704070444
1.0,0.01,0.3583692900273834,0.002638292916423642
1.0,0.01778279410038923,0.35828269858571804,0.0027842240946193172
1.0,0.03162277660168379,0.3585079649439026,0.005057058547516717
1.0,0.056234132519034905,0.35728942330361824,0.0028618510061904304
1.0,0.1,0.3595500098757308,0.0033583854839893267
1.0,0.17782794100389226,0.35701605704606326,0.007069208191151428
1.0,0.31622776601683794,0.35779325469679746,0.0030081259334481655
1.0,0.5623413251903491,0.3585267446534934,0.004220083199946678
1.0,1.0,0.3550051835463812,0.004472893210247943
1.0,1.7782794100389228,0.35830648882117083,0.004714384772600819
1.0,3.1622776601683795,0.357350629851671,0.004311741516241236
1.0,5.623413251903491,0.35628410371763497,0.0022988882408523786
1.0,10.0,0.35670725752052435,0.004252408219194712
3.1622776601683795,0.001,0.3600183024945497,0.003133458216444579
3.1622776601683795,0.0017782794100389228,0.3584171871859357,0.00448714605295056
3.1622776601683795,0.0031622776601683794,0.35850685965791124,0.004205828231513545
3.1622776601683795,0.005623413251903491,0.3607281718662175,0.0033773007222109696
3.1622776601683795,0.01,0.358027712132162,0.0051534004799096665
3.1622776601683795,0.01778279410038923,0.35816084235458284,0.003950189791925554
3.1622776601683795,0.03162277660168379,0.3571915338478682,0.0031744865616095954
3.1622776601683795,0.056234132519034905,0.35609335798123254,0.0034055389766909773
3.1622776601683795,0.1,0.36030359380355703,0.005093101850021514
3.1622776601683795,0.17782794100389226,0.3582841207365613,0.0027345640176084794
3.1622776601683795,0.31622776601683794,0.35760530930902473,0.003275483218588576
3.1622776601683795,0.5623413251903491,0.359434470746677,0.0035854357078083476
3.1622776601683795,1.0,0.3579792337631518,0.0044080423543674295
3.1622776601683795,1.7782794100389228,0.3567961615206993,0.004859836735833751
3.1622776601683795,3.1622776601683795,0.3597162892404552,0.0030245611799000873
3.1622776601683795,5.623413251903491,0.35814841575557516,0.0031054282551104717
3.1622776601683795,10.0,0.35714130052519366,0.002789073068944504
10.0,0.001,0.35749406698937164,0.0043481355782649805
10.0,0.0017782794100389228,0.3594859924731276,0.0036035619333830205
10.0,0.0031622776601683794,0.35877387253927157,0.003356848828425871
10.0,0.005623413251903491,0.35815631515149565,0.003120817360826899
10.0,0.01,0.3582288059465836,0.0035359282436739593
10.0,0.01778279410038923,0.3579260276648718,0.00422116179251472
10.0,0.03162277660168379,0.35560607938002464,0.003529240878200283
10.0,0.056234132519034905,0.3590663814115904,0.0036607901082820237
10.0,0.1,0.35777717159023015,0.0029318037213889444
10.0,0.17782794100389226,0.35890445337905685,0.0024815194309043913
10.0,0.31622776601683794,0.35884839094407694,0.003452543143523045
10.0,0.5623413251903491,0.35798269280680284,0.0035619473980597945
10.0,1.0,0.3592534680615812,0.003172580362102528
10.0,1.7782794100389228,0.35909540122776534,0.002492124812466182
10.0,3.1622776601683795,0.3561502827743927,0.0038996625097438157
10.0,5.623413251903491,0.35863683194689067,0.0022287826783730686
10.0,10.0,0.357966962753951,0.00424947100939878
