"Lambda","C","Mean","SD"
0.00031622776601683794,0.001,0.009969564869254054,0.00042451001154895516
0.00031622776601683794,0.0017782794100389228,0.010366311317122201,0.0016894933950934784
0.00031622776601683794,0.0031622776601683794,0.01167999204256773,0.0028813714041174823
0.00031622776601683794,0.005623413251903491,0.013154988079529015,0.002869118517046884
0.00031622776601683794,0.01,0.020545401656640434,0.004660714385503005
0.00031622776601683794,0.01778279410038923,0.03482001677115163,0.006077013042184928
0.00031622776601683794,0.03162277660168379,0.049706211227142756,0.010158364809348218
0.00031622776601683794,0.056234132519034905,0.07649631984803991,0.009659436630274361
0.00031622776601683794,0.1,0.13850041888632772,0.02201985885238691
0.00031622776601683794,0.17782794100389226,0.1916888612244094,0.02267199378844978
0.00031622776601683794,0.31622776601683794,0.26375926775018077,0.019484249248862627
0.00031622776601683794,0.5623413251903491,0.38335656909351723,0.032806119213915866
0.00031622776601683794,1.0,0.5293570327237799,0.042395566335831414
0.00031622776601683794,1.7782794100389228,0.7577017962891548,0.021432853505191397
0.00031622776601683794,3.1622776601683795,0.9952091579664654,0.0575508560420995
0.00031622776601683794,5.623413251903491,1.3046172911649905,0.06604866112234548
0.00031622776601683794,10.0,1.5757928784020392,0.025821769833603972
0.001,0.001,0.010639057199060893,0.0009613896231256392
0.001,0.0017782794100389228,0.010505290973050429,0.001475130592760563
0.001,0.0031622776601683794,0.01015770131495805,0.0021123604346026744
0.001,0.005623413251903491,0.01529397153193517,0.00413365734025501
0.001,0.01,0.026588247370315142,0.006169248050974598
0.001,0.01778279410038923,0.04609898372681624,0.008608994736611919
0.001,0.03162277660168379,0.07292848772231994,0.015069206540260716
0.001,0.056234132519034905,0.127928302140789,0.02434568356169045
0.001,0.1,0.19701958096828212,0.022660235589398434
0.001,0.17782794100389226,0.28979903627274045,0.03965090663132179
0.001,0.31622776601683794,0.4103702228069402,0.02551212934909985
0.001,0.5623413251903491,0.5655209854681378,0.029532416235575405
0.001,1.0,0.785113936368045,0.0461635328767597
0.001,1.7782794100389228,1.0447454103028675,0.05577389450728663
0.001,3.1622776601683795,1.3259474326901135,0.04118274735512911
0.001,5.623413251903491,1.584900758543807,0.036872125799069046
0.001,10.0,1.838420195526051,0.05316325053807027
0.0031622776601683794,0.001,0.010570283822769522,0.0006288023252790492
0.0031622776601683794,0.0017782794100389228,0.010307119277330835,0.0012640080619189659
0.0031622776601683794,0.0031622776601683794,0.01291092137833855,0.0030232069899363144
0.0031622776601683794,0.005623413251903491,0.02101391446421807,0.004431069568989789
0.0031622776601683794,0.01,0.04249454936388773,0.010411192143710179
0.0031622776601683794,0.01778279410038923,0.06845760770207307,0.01868093563724163
0.0031622776601683794,0.03162277660168379,0.12076323197626124,0.021319534485561467
0.0031622776601683794,0.056234132519034905,0.2057404377019869,0.020748639902603106
0.0031622776601683794,0.1,0.2998664323836924,0.04814297911396857
0.0031622776601683794,0.17782794100389226,0.42936378763914684,0.06040008769107445
0.0031622776601683794,0.31622776601683794,0.605254833713367,0.03504161189984512
0.0031622776601683794,0.5623413251903491,0.7991119416628716,0.07740186940617119
0.0031622776601683794,1.0,1.0062438926372983,0.06147683202802324
0.0031622776601683794,1.7782794100389228,1.2887262996704059,0.04935397629119274
0.0031622776601683794,3.1622776601683795,1.541673867407654,0.04363021082880825
0.0031622776601683794,5.623413251903491,1.8579720436011578,0.05961915409097034
0.0031622776601683794,10.0,2.124766716307697,0.024302349675551976
0.01,0.001,0.011200964429882745,0.00033834395749260686
0.01,0.0017782794100389228,0.012089006635612137,0.0017290789711544368
0.01,0.0031622776601683794,0.017445006080450343,0.004897108413666021
0.01,0.005623413251903491,0.02961317611678354,0.005742311823203082
0.01,0.01,0.05715483002379386,0.011117246297298464
0.01,0.01778279410038923,0.11143281698655497,0.01925987482813825
0.01,0.03162277660168379,0.19891213954139939,0.02299552976688483
0.01,0.056234132519034905,0.27399685301443144,0.0300816895384006
0.01,0.1,0.40946412301355856,0.037331241045746685
0.01,0.17782794100389226,0.5447209662818746,0.03641250871379736
0.01,0.31622776601683794,0.7463588882945034,0.05666001410980966
0.01,0.5623413251903491,0.9585058241397448,0.04824780612770096
0.01,1.0,1.249760904931338,0.0381237775302736
0.01,1.7782794100389228,1.582159493828264,0.04439876892074898
0.01,3.1622776601683795,1.9448337833979963,0.03567942236712855
0.01,5.623413251903491,2.205014119989598,0.026170174895234974
0.01,10.0,2.3079322539506566,0.025226620043783746
0.03162277660168379,0.001,0.45817703788645653,0.004023586928942504
0.03162277660168379,0.0017782794100389228,0.45127638179967544,0.004160543799355733
0.03162277660168379,0.0031622776601683794,0.4600040555543414,0.004892253591292854
0.03162277660168379,0.005623413251903491,0.4818374703961089,0.0057593635240883465
0.03162277660168379,0.01,0.521655911532266,0.012414998548434367
0.03162277660168379,0.01778279410038923,0.5969935737709685,0.01817379472059024
0.03162277660168379,0.03162277660168379,0.6985573103401019,0.026443856730141217
0.03162277660168379,0.056234132519034905,0.8268368394244888,0.041262379793958595
0.03162277660168379,0.1,1.0117726607918178,0.03309425121952809
0.03162277660168379,0.17782794100389226,1.221105091790753,0.046234043623019555
0.03162277660168379,0.31622776601683794,1.4579398098838525,0.038632417092037526
0.03162277660168379,0.5623413251903491,1.6932663163601849,0.022699020170466284
0.03162277660168379,1.0,1.950912280208658,0.02730054717968251
0.03162277660168379,1.7782794100389228,2.1270561236727565,0.027626072187800922
0.03162277660168379,3.1622776601683795,2.2623820743374132,0.01822962905359324
0.03162277660168379,5.623413251903491,2.3360291691777855,0.031923872132931075
0.03162277660168379,10.0,2.371716608400296,0.022103260882507005
0.1,0.001,1.799386173545178,0.017400135667697346
0.1,0.0017782794100389228,1.773384049544907,0.025773348855532424
0.1,0.0031622776601683794,1.79338179264387,0.014392469526554824
0.1,0.005623413251903491,1.787180093750044,0.023706296321990724
0.1,0.01,1.8219520880164317,0.025483382481859586
0.1,0.01778279410038923,1.829506797685368,0.025355294988884704
0.1,0.03162277660168379,1.8530645329395987,0.030241516481533413
0.1,0.056234132519034905,1.9174411838441556,0.025437518759443816
0.1,0.1,1.9429809837023704,0.018287241343276566
0.1,0.17782794100389226,2.0444998204592206,0.027577098591253135
0.1,0.31622776601683794,2.115183004070145,0.022983874002621803
0.1,0.5623413251903491,2.193161496485903,0.017425328355462115
0.1,1.0,2.2704272897116757,0.03536263063832369
0.1,1.7782794100389228,2.325519539835403,0.02268784889764467
0.1,3.1622776601683795,2.3645169863015245,0.043334056802334146
0.1,5.623413251903491,2.394743759319072,0.020113791356057294
0.1,10.0,2.4042491713268395,0.02311604228856363
0.31622776601683794,0.001,2.2190255340506018,0.022589369992038262
0.31622776601683794,0.0017782794100389228,2.2229010433972,0.014412526002474613
0.31622776601683794,0.0031622776601683794,2.2092229704946025,0.024934629207363668
0.31622776601683794,0.005623413251903491,2.2123047108174947,0.023745598885199292
0.31622776601683794,0.01,2.226431217500258,0.017665067364195635
0.31622776601683794,0.01778279410038923,2.227081055143194,0.0355176344210673
0.31622776601683794,0.03162277660168379,2.2481041507539135,0.01950119983245029
0.31622776601683794,0.056234132519034905,2.2488926676213605,0.020761867908477404
0.31622776601683794,0.1,2.261177186357363,0.01990693371171153
0.31622776601683794,0.17782794100389226,2.283632744627623,0.026104068651950748
0.31622776601683794,0.31622776601683794,2.298469327474032,0.022245466822663075
0.31622776601683794,0.5623413251903491,2.344516163285343,0.03390855394415065
0.31622776601683794,1.0,2.356239309541099,0.022629942715930773
0.31622776601683794,1.7782794100389228,2.3729923695784754,0.031708848932507305
0.31622776601683794,3.1622776601683795,2.3848238993492323,0.022921526395144616
0.31622776601683794,5.623413251903491,2.3934475887702886,0.03147507216296115
0.31622776601683794,10.0,2.4109836698183273,0.024828052417589366
1.0,0.001,2.332784462184196,0.021738279012970603
1.0,0.0017782794100389228,2.332945917695073,0.03817494410342956
1.0,0.0031622776601683794,2.349230277729307,0.030301523020488733
1.0,0.005623413251903491,2.3553849155097444,0.031080803795573923
1.0,0.01,2.3545526476094283,0.021468050819283827
1.0,0.01778279410038923,2.3470706681909617,0.0233860322714019
1.0,0.03162277660168379,2.3539670712106107,0.023995775111047668
1.0,0.056234132519034905,2.36007950779814,0.0291948686596461
1.0,0.1,2.379770175079666,0.028888470294653024
1.0,0.17782794100389226,2.3658524538538424,0.0259690987072498
1.0,0.31622776601683794,2.3652065704773784,0.031590957984563836
1.0,0.5623413251903491,2.3935700015612125,0.0295365822785043
1.0,1.0,2.401441757331763,0.029202867752284103
1.0,1.7782794100389228,2.3900866627055137,0.03482483571558599
1.0,3.1622776601683795,2.4037094947162365,0.01907335679255921
1.0,5.623413251903491,2.3956257977445383,0.01724525241387418
1.0,10.0,2.402964961380662,0.027735194109039806
3.1622776601683795,0.001,2.387055352366243,0.025401980654099827
3.1622776601683795,0.0017782794100389228,2.3809326414008716,0.03506274726256326
3.1622776601683795,0.0031622776601683794,2.385394616834352,0.024837974830433516
3.1622776601683795,0.005623413251903491,2.389438244041589,0.02747720356415423
3.1622776601683795,0.01,2.364000367953724,0.02894578955841807
3.1622776601683795,0.01778279410038923,2.405830532630704,0.027856247426354615
3.1622776601683795,0.03162277660168379,2.3919951839206868,0.03554723492542397
3.1622776601683795,0.056234132519034905,2.381539281667277,0.02625040597522113
3.1622776601683795,0.1,2.404120285018668,0.017880890511048735
