"Prices","MargRev","Fit"
"0.1","3.3500033444469466","3.764040895086654"
"0.10714285714285715","2.666193820637421","3.366392705757316"
"0.11428571428571428","2.0657176301612328","2.993503271171936"
"0.12142857142857144","1.533868890665433","2.6438310378847243"
"0.12857142857142856","1.0592096936532975","2.3159304341360025"
"0.13571428571428573","0.6327101113642399","2.0084458937479672"
"0.14285714285714285","0.24714620158980338","1.7201062521104218"
"0.15","-0.10332998888638656","1.4497194910890414"
"0.15714285714285714","-0.42350314905954534","1.1961678111312297"
"0.1642857142857143","-0.7173258480996374","0.9584030101972631"
"0.17142857142857143","-0.9880918936482921","0.7354421504128821"
"0.17857142857142858","-1.2385680841244824","0.5263634945289217"
"0.18571428571428572","-1.4710955566519548","0.3303026953890278"
"0.1928571428571429","-1.6876686132250107","0.1464492226523939"
"0.2","-1.8899966555530536","-0.025956988000666037"
"0.20714285714285716","-2.079553305799359","-0.18762867703275976"
"0.21428571428571427","-2.2576157031721005","-0.3392342075730026"
"0.22142857142857142","-2.4252961947235594","-0.4814003284813202"
"0.2285714285714286","-2.5835680841244812","-0.6147147653761751"
"0.23571428571428574","-2.733286698843097","-0.7397286503372325"
"0.24285714285714288","-2.875206739586666","-0.8569588003275364"
"0.24999999999999997","-3.009996655553051","-0.9668898537543607"
"0.2571428571428571","-3.1382506238070205","-1.0699762740014656"
"0.2642857142857143","-3.2604985860549833","-1.1666442282154792"
"0.27142857142857146","-3.377214700665835","-1.2572933491134872"
"0.2785714285714286","-3.488824494380892","-1.3422983870952505"
"0.28571428571428575","-3.595710941267339","-1.4220107594900275"
"0.2928571428571428","-3.6982196520687314","-1.496760003342687"
"0.3","-3.79666332221972","-1.5668551377450681"
"0.30714285714285716","-3.8913255592075373","-1.6325859413445345"
"0.31428571428571433","-3.982464188020586","-1.6942241503110749"
"0.32142857142857145","-4.070314115870513","-1.7520245817154096"
"0.3285714285714285","-4.155089823254915","-1.8062261869622596"
"0.3357142857142857","-4.236987537012019","-1.857053039633728"
"0.34285714285714286","-4.316187131743529","-1.9047152618266256"
"0.35000000000000003","-4.392853798410195","-1.9494098928132955"
"0.35714285714285715","-4.46713951269591","-1.9913217036170368"
"0.36428571428571427","-4.539184330623081","-2.030623960869648"
"0.37142857142857144","-4.609117534673932","-2.067479143108936"
"0.3785714285714286","-4.677058650162218","-2.1020396124774177"
"0.38571428571428573","-4.743118348674746","-2.134448244599078"
"0.39285714285714285","-4.80739925295565","-2.164839019238121"
"0.39999999999999997","-4.869996655553052","-2.1933375741815686"
"0.40714285714285714","-4.930999161818717","-2.22006172463548"
"0.4142857142857143","-4.990489266390491","-2.245121950282026"
"0.42142857142857143","-5.0485438710494215","-2.2686218520109467"
"0.4285714285714286","-5.105234750791149","-2.290658580213553"
"0.4357142857142857","-5.160628974054224","-2.3113232364098772"
"0.4428571428571429","-5.2147892822811635","-2.3307012498693243"
"0.45","-5.26777443333083","-2.3488727307818063"
