"Prices","True","LB","UB","Sample","Fit"
0.1,4.827044284917974,-81.03922841531327,4.827032325566051,4.827032325203179,4.827032328180094
0.10714285714285715,4.143248321820465,-81.0392284151626,4.8270333255670534,4.0940511080811,4.45219154347864
0.11428571428571428,3.5427465103139184,-81.0392393016812,4.827034325703635,3.4279788916913247,4.068925217853511
0.12142857142857144,3.0109122098847365,-81.03922555070545,4.827035324894106,2.8279433480811655,3.6782861572728587
0.12857142857142856,2.5362659006432295,-81.0392297254314,4.823480958869413,2.2925103761873933,3.281348875897765
0.13571428571428573,2.109761639993849,-81.03923161723236,4.808092513682327,1.8197101286885469,2.879204035443807
0.14285714285714285,1.7241874019064198,-81.03923363507977,4.775136422606062,1.4070688019360038,2.4729527519827594
0.15,1.373708601801809,-81.0392348053772,4.675252351928644,1.0516458307776138,2.0637008765872635
0.15714285714285714,1.053542076978374,-81.03922758531715,4.502170923526144,0.7500760720185519,1.65255339549743
0.1642857142857143,0.7597279882293151,-81.0392210317669,4.105952224396978,0.4986164824453218,1.240608824624114
0.17142857142857143,0.48896542386955844,-81.0392403691363,3.4186330227950914,0.2931967503617277,0.8289537483279462
0.17857142857142858,0.23848629712028924,-81.03924368950936,2.166794548375072,0.12947328029406246,0.4186575498271233
0.18571428571428572,0.005953431832494971,-81.03924811376422,0.06972876098937393,0.002885889502680527,0.01076729509809935
0.1928571428571429,-0.21062254716798634,-81.03925785175154,0.0005551645434535247,-0.09128346461288515,-0.39369710222042814
0.2,-0.4129490531149713,-81.03925927799334,0.0005556369097317402,-0.15785062824995388,-0.7937475116216521
0.20714285714285716,-0.6025015302175234,-81.03922776619966,-0.01016856058458039,-0.2016685968284266,-1.188431811514027
0.21428571428571427,-0.7805607518630495,-81.03922594823909,-0.0204385723909862,-0.2275669905493684,-1.5768378674322685
0.22142857142857142,-0.9482415744778336,-81.03923386987888,-0.042058770575672914,-0.24029239658850324,-1.958097146396763
0.2285714285714286,-1.1065170218016647,-81.03925023433712,-0.06629251603195446,-0.24445029901539178,-2.3313879106055007
0.23571428571428574,-1.2562398597901847,-81.03924179090575,-0.09692693632266092,-0.24444929901539178,-2.6959380537215507
0.24285714285714288,-1.3981619779724497,-81.03924093886712,-0.13530421837853673,-0.24444829901539178,-3.05102754770217
0.24999999999999997,-1.5329507434425977,-81.03923220642643,-0.17211948617910905,-0.24830728456193216,-3.395990415430122
0.2571428571428571,-1.66120161330673,-81.03924473435852,-0.221522164783659,-0.25954229252812205,-3.730216328746214
0.2642857142857143,-1.7834471292835588,-81.0392265286726,-0.26350840188186064,-0.28128509705289867,-4.053151804863484
0.27142857142857146,-1.9001635304621232,-81.03921872496684,-0.31624458724528437,-0.31624808856467634,-4.364300923994765
0.2785714285714286,-2.0117765280292588,-81.03922202313257,-0.3666802376296898,-0.3666947445785793,-4.663225710301248
0.28571428571428575,-2.118667341636865,-81.0392192890385,-0.421007869435277,-0.4344160262862721,-4.9495460303330745
0.2928571428571428,-2.2211791643121614,-81.03921954733055,-0.47744274061299957,-0.5207129533938072,-5.222939214757908
0.3,-2.3196232743221117,-81.03923700336964,-0.5322038222876426,-0.6263855281487126,-5.483139197164202
0.30714285714285716,-2.4142837863464592,-81.0392221737983,-0.5920326538461763,-0.7517281041795727,-5.729935396659529
0.31428571428571433,-2.505420555065939,-81.03922956406238,-0.6465209192902986,-0.8965312015003375,-5.963171271358531
0.32142857142857145,-2.593270598298659,-81.03922502804005,-0.7071481783462231,-1.0600896974215799,-6.182742496117768
0.3285714285714285,-2.6780491075169266,-81.03921742687704,-0.761135587912469,-1.2412172351700335,-6.3885949856803315
0.3357142857142857,-2.7599511164753494,-81.039219182928,-0.8202679878252752,-1.4382666163450772,-6.580722573660463
0.34285714285714286,-2.839154250573756,-81.03921821677613,-0.87355524061301,-1.649155866424198,-6.759164582553295
0.35000000000000003,-2.915822016637321,-81.03921613050909,-0.9290471618570977,-1.8713995969921229,-6.9240031305110925
0.35714285714285715,-2.990106518077482,-81.03921847101287,-0.9820964956776773,-2.1021452185204206,-7.075360340385433
0.36428571428571427,-3.0621497050199196,-81.03923368121539,-1.0324342890626705,-2.338213503684337,-7.213395445756015
0.37142857142857144,-3.1320830936524544,-81.03921863340646,-1.085151616906172,-2.576142950520542,-7.338301762860106
0.3785714285714286,-3.200026993679444,-81.03922117472496,-1.1287748353742613,-2.8122373493384356,-7.450303675102393
0.38571428571428573,-3.2660906448383002,-81.03922234526816,-1.1735809609369778,-3.0426159301134175,-7.549653557890243
0.39285714285714285,-3.33037404949863,-81.03923310554656,-1.2177745960591915,-3.263265430692255,-7.63662874909985
0.39999999999999997,-3.392970958048238,-81.0392399551125,-1.252594649314655,-3.4700934231952982,-7.7115284974149665
0.40714285714285714,-3.4539711707242304,-81.03923765426411,-1.2868780146926204,-3.6589822182986125,-7.774671016185916
0.4142857142857143,-3.513460372880786,-81.03923219971851,-1.3179453012408056,-3.825842674533345,-7.826390668019935
0.42142857142857143,-3.5715174481812824,-81.03923468073012,-1.345283263206523,-3.966667250349996,-7.867035135804215
0.4285714285714286,-3.628211949297672,-81.03923298007693,-1.3648816382335172,-4.077581653493471,-7.896962827629605
0.4357142857142857,-3.683605964227752,-81.03923300634278,-1.3780553983267678,-4.154894474138053,-7.916540391199217
0.4428571428571429,-3.737762138344415,-81.03922037348853,-1.3853678978078248,-4.195144220684161,-7.926140372411734
0.45,-3.7907507081000205,-81.03924931242229,-1.3854312367914674,-4.195143220684161,-7.92613905536354
